Time,X,Y,Z,Phi,Theta,Psi,U,V,W,P,Q,R,Speed,Beta_c,Alpha_c,Chi,delta_r,delta_s,n_prop
34.04,69.90411222418865,22.719591515169192,13.93220550973944,1.3685130065824145,-8.545048813779482,33.4095560444294,2.343800035993789,0.2526043508787423,-0.0077026103318389,0.11550908926927,0.2193417543643611,0.8403647091469951,2.357385606347269,6.151340682745863,-0.1882948492463029,39.56089672717527,0.0113164025498979,0.0308286298300956,1525.0
34.06,69.94002826731732,22.74934070345757,13.93913797380515,1.368281643817688,-8.541066801541376,33.42663902596696,2.3438530232737365,0.2527493966070829,-0.0076998346523656,0.1153472928903675,0.2192168344581763,0.83967145481137,2.357453825560185,6.154707613675112,-0.1882227414133574,39.58134663964208,0.0113048588421858,0.0308156566608352,1525.0
34.08,69.97593510670704,22.779103849997416,13.946067476182057,1.3680503417703611,-8.537086885813544,33.44370773939773,2.3439059791567383,0.252894328540878,-0.0076970594114222,0.115185671007488,0.2190920124764633,0.8389783668081441,2.3575220094960794,6.158071681912836,-0.1881506500798574,39.60177942131054,0.0112933204371946,0.0308026890706155,1525.0
34.1,70.01183274501867,22.808880940529303,13.952994018216218,1.3678191007803973,-8.533109064853019,33.46076218864963,2.34395890361428,0.2530391467140462,-0.0076942846113077,0.1150242235837328,0.2189672881856315,0.8382854462371149,2.357590158110207,6.161432888764086,-0.1880785753002539,39.622195077413714,0.0112817873530304,0.0307897270550708,1525.0
34.12,70.04772118492403,22.838671960802188,13.959917601252553,1.3675879211866395,-8.52913333692202,33.477802377672006,2.3440117966179868,0.2531838511607271,-0.0076915102543092,0.1148629505816886,0.2188426613532834,0.8375926941945967,2.3576582713580123,6.164791235538634,-0.1880065171287691,39.64259361321064,0.0112702596077245,0.0307767706098508,1525.0
34.14,70.08360042910597,22.8684768965734,13.966838226634822,1.3673568033268628,-8.525159700287885,33.49482831043533,2.3440646581396227,0.2533284419152799,-0.0076887363427021,0.1147018519634294,0.2187181317482136,0.8369001117734269,2.35772634919513,6.1681467235509695,-0.1879344756191925,39.6629750339863,0.0112587372192342,0.0307638197306248,1525.0
34.160000000000004,70.1194704802583,22.898295733608695,13.973755895705647,1.3671257475377228,-8.521188153223115,33.5118399909312,2.3441174881510913,0.2534729190122824,-0.0076859628787502,0.1145409276905169,0.2185936991404062,0.8362077000629741,2.357794391577383,6.171499354120359,-0.18786245082511,39.68333934505156,0.0112472202054387,0.0307508744130662,1525.0
34.18,70.15533134108571,22.92812845768227,13.980670609806516,1.3668947541548058,-8.517218694005349,33.5288374231723,2.3441702866244336,0.2536172824865307,-0.0076831898647053,0.1143801777240022,0.2184693633010269,0.8355154601491427,2.3578623984607816,6.174849128570678,-0.1877904427997515,39.703686551742976,0.0112357085841452,0.0307379346528719,1525.0
34.2,70.19118301430383,22.95797505457676,13.987582370277767,1.3666638235126554,-8.513251320917215,33.54582061119235,2.34422305353183,0.2537615323730375,-0.0076804173028075,0.1142196020244283,0.2183451240024259,0.8348233931143791,2.3579303698015246,6.178196048230505,-0.1877184515960669,39.72401665942285,0.0112242023730848,0.0307250004457466,1525.0
34.22,70.22702550263912,22.987835510083276,13.994491178458624,1.3664329559446955,-8.509286032246479,33.56278955904595,2.3442757888455983,0.2539056687070317,-0.0076776451952852,0.114059200551832,0.2182209810181309,0.8341315000376789,2.357998305555999,6.181540114433055,-0.1876464772666752,39.74432967347901,0.0112127015899147,0.0307120717874118,1525.0
